기업명,모집내용,조건
(재)경기도일자리재단,경기청년 일자리 매치업 1차 통합채용공고,경력무관 학력무관 경기 부천시 외 정규직 외
㈜이랜드이노플,이랜드이노플 클라우드 아키텍트 채용(0-3년),경력 학력무관 서울 금천구 계약직
진인프라,2024년 신입 및 경력 공개 채용,"신입·경력 고졸↑ 서울 송파구 외 정규직 3,000만원 이상"
펀앤아이,"[펀비어킹] 35년차 외식본사 (메뉴바이저, 온라인마케팅, 영상기획 및 편집, 유튜브채널기획 및 관리)",신입·경력 학력무관 서울 서초구 외 정규직
㈜오누이,[에듀테크 스타트업 오누이/설탭] 분야별 채용,신입·경력 학력무관 서울 마포구 외 정규직 외
㈜에티버스,VMware 솔루션 엔지니어 및 영업직 모집,신입·경력 학력무관 서울 중구 외 정규직
㈜안랩,2024 안랩 상반기 신입/Junior 공개채용,신입·경력 대졸↑ 경기 성남시 정규직
㈜미라콤아이앤씨,[미라콤아이앤씨(삼성SDS 자회사)] 2024 경력사원 채용,경력2년↑ 학력무관 서울 송파구 정규직
씨에스케이㈜ (CSK Inc. ),씨에스케이 Field Service & 에드워드 Graduate Program 신입 채용,신입·경력 초대졸↑ 경기 평택시 외 정규직
퓨처스엔터테인먼트㈜,가상자산 플랫폼 관리자 & 서비스 기획 채용,"경력무관 학력무관 서울 강남구 정규직 2,800만원 이상"
㈜코난테크놀로지,2024년 상반기 각 부문 신입/경력 상시 채용,신입·경력 대졸↑ 서울 서초구 정규직
신한은행,[신한은행] RPA 개발 및 운영 경력직 채용,경력2년↑ 학력무관 서울 중구 계약직
㈜올수,"(주)올수 마케팅 기획, 운영 / 마케팅 - 경력자 모집",경력2년↑ 학력무관 경기 정규직
㈜영신디엔씨,각분야 신입/경력 채용,신입·경력3년↑ 초대졸↑ 경기 정규직 외
한전KDN,2024년 신입사원/별정직/국가보훈대상자/사내변호사 채용,신입·경력 학력무관 서울 정규직 외
㈜에스엠피엠씨,[신세계그룹 관계사] 각 부문 경력 채용,경력2년↑ 초대졸↑ 서울 강남구 외 정규직
신한은행,[신한은행] 2024년 디지털/ICT 수시채용,경력무관 학력무관 서울 중구 정규직
삼성중공업,2024 삼성중공업 미래사업 분야 경력사원 채용,경력4년↑ 대졸↑ 경남 거제시 외 정규직
현대자동차㈜,현대자동차 경력 채용 IT부문,경력 대졸↑ 서울 서초구 정규직
더이앤엠,재무회계/전략기획/플랫폼사업/기술개발부(백엔드/프론트엔드/모바일팀/DB팀) 채용,신입·경력 학력무관 서울 서초구 외 정규직
㈜넥슨,신입/경력 채용,신입·경력 학력무관 경기 성남시 정규직 외
㈜플래티어,[그루비 SaaS 솔루션] 데이터 사이언티스트,경력2년↑ 대졸↑ 서울 송파구 정규직
(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력 학력무관 서울 송파구 정규직 외
㈜하이,(주)하이-데이터 사이언티스트 [ML팀],경력2년↑ 대졸↑ 서울 종로구 정규직
메디웨일,데이터 사이언티스트,경력3년↑ 학력무관 서울 구로구 정규직
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/자바웹개발자 교육생모집,신입·경력 학력무관 서울 영등포구 외 연수생/교육생
템프인㈜,[여의도/-3288만/소속전환]공기업 통계업무 채용,경력무관 초대졸↑ 서울 영등포구 파견직
㈜에이콘아카데미,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/등 자바개발자취업교육과정/취업연계매칭 / IT취업 컨설팅,신입·경력 고졸↑ 서울 연수생/교육생
㈜이스트소프트,[ESTsoft] 각부문별 부트캠프 과정 교육생 모집,신입 학력무관 서울 서초구 연수생/교육생
(재)울산정보산업진흥원,"[국비지원 무료교육] 인공지능, ChatGPT, 메타버스, 로봇과정 교육생 모집",경력무관 학력무관 울산 남구 외 연수생/교육생
대한상공회의소 광주인력개발원,[K-디지털/취업유망 취업연계]국비기술교육생모집(AI응용SW개발/CAD·CAM/자동화/전기),경력무관 학력무관 광주 광산구 외 연수생/교육생
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,신입·경력 고졸↑ 서울 연수생/교육생
한국스마트정보교육원,[전액국비무료] 웹·어플 개발자 양성과정 교육생 모집,경력무관 학력무관 전북 전주시 외 연수생/교육생
㈜하이미디어아카데미,[국비무료IT취업교육생모집]JAVA개발자/풀스택개발자/프론트엔드/백엔드/빅데이터/개발자취업교육과정/취업연계매칭시스템,경력무관 학력무관 강원 연수생/교육생
삼성웰스토리㈜,부문별 경력사원 채용 (FD 수주영업),경력 경기 성남시 정규직
삼성웰스토리㈜,부문별 경력사원 채용 (AI 사이언티스트),경력 경기 성남시 정규직
삼성웰스토리㈜,부문별 경력사원 채용 (로보틱스 담당),경력 경기 성남시 정규직
㈜컴투스,[컴투스홀딩스] 데이터분석팀 팀리더 (경력),경력 서울 금천구 정규직
아이헤이트플라잉버그스㈜,데이터 매니저 (신입),신입 대졸↑ 서울 영등포구 정규직 외
㈜컴투스,[컴투스] 데이터 분석 및 기획 담당자 (경력),경력 서울 금천구 정규직
㈜컴투스,[컴투스] [컴투스프로야구 시리즈] QA 담당자 (계약직),신입·경력 학력무관 서울 금천구 계약직
금융감독원,2024년도 금융감독원 A.C.E. 전문가(4·5급) 채용공고(정보기술A.C.E.(IT-데이터·AI 등)),경력5년↑ 학력무관 서울 영등포구 정규직
금융감독원,2024년도 금융감독원 A.C.E. 전문가(4·5급) 채용공고(정보기술A.C.E.(IT-일반)),경력5년↑ 학력무관 서울 영등포구 정규직
㈜넥슨,[국내메이플] DBA,경력5년↑ 학력무관 경기 성남시 정규직
㈜토마토시스템,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),경력2년↑ 대졸↑ 서울 강남구 정규직
(재)경기도일자리재단,연합시스템 경력 채용 공고,경력1년↑ 학력무관 경기 김포시 정규직
